Title,Provider,Description,Deadline,Local_ScholarshipType,Overseas_ScholarshipType,Singaporean_Nationality,PR_Nationality,Foreigner_Nationality,Olvl_EducationLevel,JC_EducationLevel,Poly_EducationLevel,Uni_EducationLevel,Masters_EducationLevel,ITE_EducationLevel
PSA - MaritimeONE Scholarship (NTU MS Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 3 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Science (Hons) in Maritime Studies Bachelor of Science (Hons) in Maritime Studies with Business Major T...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Norden & Orient Fond - MaritimeONE Scholarship (NTU MS Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU MS Year 4 students in AY 2019/20. Sponsor NORDEN Shipping (Singapore) Pte Ltd (For more information on the sponsor; please go to www.ds-norden.com) A/S D/S Orient's Fond (For more information on the sponsor; please go to http://www.orientsfond.dk/) Disciplines / C...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,T
X-Press Feeders ï¿½ MaritimeONE Scholarship (NTU MS Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 4 students in AY 2019/20. Sponsor X-Press Feeders (For more information on the sponsor; please go to www.x-pressfeeders.com) Disciplines / Course Bachelor of Science in Maritime Studies Bachelor of Science in Maritime Studies with Business Major Tenable Universit...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU MS Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 4 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Science (Hons) in Maritime Studies Bachelor of Science (Hons) in Maritime Studies with Business Major T...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU CE Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 1 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Computer Engineering) Tenable Universities / Institutions Nanyang Technological University...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU CE Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 2 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Computer Engineering) Tenable Universities / Institutions Nanyang Technological University...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU CE Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 3 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Computer Engineering) Tenable Universities / Institutions Nanyang Technological University...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU CE Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 4 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Computer Engineering) Tenable Universities / Institutions Nanyang Technological University...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU CS Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 1 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Computer Science) Tenable Universities / Institutions Nanyang Technological University Bon...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU EEE Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 1 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Electrical and Electronic Engineering) Tenable Universities / Institutions Nanyang Technol...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU ME Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 1 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universities / Institutions Nanyang Technological Universi...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
SeaTech Solutions - MaritimeONE Scholarship (NUS ME Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS and NTU Year 4 students in AY 2019/20. Sponsor SeaTech Solutions International (S) Pte Ltd (For more information on the sponsor; please go to http://www.seatechsolutions.com/about/) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universi...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,T,F
BW Maritime - MaritimeONE Scholarship (SMU MET Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMU Year 3 students in AY 2019/20. Sponsor BW Maritime (For more information on the sponsor; please go to http://www.bwmaritime.com/) Disciplines / Course Economics (first or second major) with Maritime Economics Track (MET) Finance (first or second major) with Internatio...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Fednav - MaritimeONE Scholarship (SMU MET Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMU Year 3 students in AY 2019/20. Sponsor Fednav Singapore Pte Ltd (For more information on the sponsor; please go to www.fednav.com) Disciplines / Course Any degree programme with Maritime Economics Track (MET) Tenable Universities / Institutions Singapore Management Un...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
BW Maritime - MaritimeONE Scholarship (SMU MET Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMU Year 4 students in AY 2019/20. Sponsor BW Maritime (For more information on the sponsor; please go to http://www.bwmaritime.com/) Disciplines / Course Economics (first or second major) with Maritime Economics Track (MET) Finance (first or second major) with Internatio...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
SSA ï¿½ MaritimeONE Scholarship (SMU MET Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMU Year 4 students in AY 2019/20. Sponsor Singapore Shipping Association (For more information on the sponsor; please go to www.ssa.org.sg) Disciplines / Course Economics (First or Second major) with Maritime Economics Track (MET) First degree in Business School with Mar...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,T
Norden & Orient Fond - MaritimeONE Scholarship (SMU MET Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMU Year 4 students in AY 2019/20. Sponsor NORDEN Shipping (Singapore) Pte Ltd (For more information on the sponsor; please go to www.ds-norden.com) A/S D/S Orient's Fond (For more information on the sponsor; please go to http://www.orientsfond.dk/) Disciplines / Cour...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,T,T
ABS - MaritimeONE Scholarship (NU BEng Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to Newcastle University Year 1 students in AY 2019/20. Sponsor American Bureau of Shipping (For more information on the sponsor; please go to www.eagle.org?) Disciplines / Course Bachelor of Engineering with Honours in Marine Engineering Bachelor of Engineering with Hono...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
SMA - MaritimeONE Scholarship (NU BEng Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to Newcastle University Year 2 students in AY 2019/20. Sponsor Singapore Maritime Academy; Singapore Polytechnic (For more information on the sponsor; please go to http://www.sma.sp.edu.sg) Disciplines / Course Bachelor of Engineering with Honours in Marine Engineering Bache...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,T
SeaTech Solutions - MaritimeONE Scholarship (NU BEng),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to Newcastle University Final Year students in AY 2019/20 Sponsor SeaTech Solutions International (S) Pte Ltd (For more information on the sponsor; please go to http://www.seatechsolutions.com/about/) Disciplines / Course Bachelor of Engineering with Honours in Naval Archite...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
SMA - CAU - MaritimeONE Scholarship (CAU),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),The scholarship is open to SMA students commencing the degree programme in AY 2019/20. Sponsor Chung-Ang University; Korea (acting through Singapore Maritime Academy; Singapore Polytechnic) (For more information on the sponsor; please go to http://neweng.cau.ac.kr) Disciplines / Course Bachelor of B...,Deadline: Closed for this cycle.,T,T,T,T,F,T,F,T,F,F,F
SMA - MaritimeONE Scholarship (PU),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),The scholarship is open to SMA students commencing the degree programme in AY 2019/20. Sponsor Singapore Maritime Academy; Singapore Polytechnic (For more information on the sponsor; please go to http://www.sma.sp.edu.sg) Disciplines / Course BSc (Hons) Navigation and Maritime Science BSc (Hons) Mar...,Deadline: Closed for this cycle.,T,T,T,T,F,T,F,T,F,F,F
SMA-PU - MaritimeONE Scholarship (PU),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),The scholarship is open to SMA students commencing the degree programme in AY 2019/20. Sponsor Singapore Maritime Academy; Singapore Polytechnic (For more information on the sponsor; please go to http://www.sma.sp.edu.sg Plymouth University; UK Disciplines / Course BSc (Hons) Navigation and Maritime...,Deadline: Closed for this cycle.,T,T,T,T,F,T,F,T,F,F,T
SMA - MaritimeONE Scholarship (SMA-SP),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMA-SP Year 1 students in AY 2019/20. Sponsor Singapore Maritime Academy; Singapore Polytechnic (For more information on the sponsor; please go to http://www.sma.sp.edu.sg) Disciplines / Course Diploma in Maritime Business Diploma in Marine Engineering Diploma in Nautical...,Deadline: Closed for this cycle.,T,F,T,T,F,T,F,T,F,F,T
SSA - MaritimeONE Scholarship (SMA-SP),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMA-SP Year 1 students in AY 2019/20. Sponsor Singapore Shipping Association (For more information on the sponsor; please go to www.ssa.org.sg) Disciplines / Course Diploma in Maritime Business Diploma in Marine Engineering Diploma in Nautical Studies Tenable Universities...,Deadline: Closed for this cycle.,T,F,T,T,F,T,F,T,F,F,T
SMOU - MaritimeONE Scholarship (SMA-SP),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMA-SP Year 1 students in AY 2019/20. Sponsor Singapore Maritime Officers' Union (For more information on the sponsor; please go to www.smou.org.sg) Disciplines / Course Diploma in Marine Engineering (with CoC5) Diploma in Nautical Studies (with CoC3) Tenable Universi...,Deadline: Closed for this cycle.,T,F,T,T,F,T,F,T,F,F,T
The Oza Family - MaritimeONE Scholarship (SMA-SP),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMA-SP Year 1 students in AY 2019/20. Sponsor Mr Punit Oza; Vice President & Head of Systems; Processes & Competence; Torvald Klaveness (Personal sponsorship) (For more information on the sponsor; please visit this website) Disciplines / Course Diploma in Maritime...,Deadline: Closed for this cycle.,T,F,T,T,F,T,F,T,F,F,T
Jurong Port - MaritimeONE Scholarship (NTU Econs Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 2 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Arts (Economics) Tenable Universities / Institutions Nanyang Technological University Bond Requirements 3 year...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (SMU IS Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMU Year 1 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Science (Information Systems) Major in Information Systems Tenable Universities / Institutions Singapore Manag...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (SMU IS Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMU Year 2 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Science (Information Systems) Major in Information Systems Tenable Universities / Institutions Singapore Manag...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (SMU IS Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMU Year 3 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Science (Information Systems) Major in Information Systems Tenable Universities / Institutions Singapore Manag...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS IS Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 1 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Computing (Information Systems) Tenable Universities / Institutions National University of Singapore B...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS IS Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 2 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Computing (Information Systems) Tenable Universities / Institutions National University of Singapore B...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS IS Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 3 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Computing (Information Systems) Tenable Universities / Institutions National University of Singapore B...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS ISE Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 1 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Industrial & Systems Engineering) Tenable Universities / Institutions National Univer...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS ISE Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 2 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Industrial & Systems Engineering) Tenable Universities / Institutions National Univer...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS ISE Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 3 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Industrial & Systems Engineering) Tenable Universities / Institutions National Univer...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NUS ME Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 1 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universities / Institutions National University of Singapo...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NUS CE Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 1 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Computer Engineering) Tenable Universities / Institutions National University of Singapore...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS Econs Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 1 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Social Science (Hons) (Economics) Tenable Universities / Institutions National University of Singapore Bond Re...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS Econs Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 2 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Social Science (Hons) (Economics) Tenable Universities / Institutions National University of Singapore Bond Re...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (SMU Econs Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMU Year 1 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Economics (first or second major) Tenable Universities / Institutions Singapore Management University Bond Requirements 3 ...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
ACR ï¿½ SVS - MaritimeONE Scholarship,MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMA-SP Year 1 students in AY 2019/20. Sponsors Asia Capital Reinsurance Group (For more information on the sponsor; please go to http://www.asiacapitalre.com/) Mr Simon Stonehouse Disciplines / Course Diploma in Maritime Business Tenable Universities / Institutions Singap...,Deadline: Closed for this cycle.,T,F,T,T,F,T,F,T,F,F,F
DNV GL - MaritimeONE Scholarship,MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to Newcastle University students graduating in 2020. Sponsor DNV GL (For more information on the sponsor; please go to https://www.dnvgl.com/) Disciplines / Course Bachelor of Engineering with Honours in Marine Engineering Bachelor of Engineering with Honours in Naval Archit...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Keppel - MaritimeONE Scholarship (NU BEng),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to Newcastle University students from all years. Sponsor Keppel Offshore & Marine (For more information on the sponsor; please go to http://www.keppelom.com/en/) Disciplines / Course Bachelor of Engineering with Honours in Marine Engineering Bachelor of Engineering with ...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,T
Keppel - MaritimeONE Scholarship (SIT),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SIT students from all years from the courses stated below. Sponsor Keppel Offshore & Marine (For more information on the sponsor; please go to http://www.keppelom.com/en/) Disciplines / Course Bachelor of Engineering (Hons) in Telematics (Intelligent Transportation Sy...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,T
Keppel - MaritimeONE Scholarship (DMR),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMA-SP Year 1 or 2 students in AY 2019/20. Sponsor Keppel Offshore & Marine (For more information on the sponsor; please go to http://www.keppelom.com/en/) Disciplines / Course Diploma in Marine Engineering Tenable Universities / Institutions Singapore Maritime Academ...,Deadline: Closed for this cycle.,T,F,T,T,F,T,F,T,T,F,T
Jurong Port - MaritimeONE Scholarship (NUS BA Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 1 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Science (Business Analytics) Tenable Universities / Institutions National University of Singapore Bond Require...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS BA Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 2 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Science (Business Analytics) Tenable Universities / Institutions National University of Singapore Bond Require...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS BA Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 3 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Science (Business Analytics) Tenable Universities / Institutions National University of Singapore Bond Require...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NTU EEE Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 3 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Electrical and Electronic Engineering) Tenable Universities / Institutions Nanyang Techno...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Sailors' Society - MaritimeONE Scholarship (YR2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMA-SP Year 2 students in AY 2019/20. Sponsor Sailors' Society (For more information on the sponsor; please go to http://www.sailors-society.org) Disciplines / Course Diploma in Marine Engineering (with CoC5) Diploma in Nautical Studies (with CoC3) Tenable Universitie...,Deadline: Closed for this cycle.,T,F,T,T,F,T,F,T,F,F,F
The Chua Chor Teck Memorial Fund - MaritimeONE Scholarship (NU BEng),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to Newcastle University Year 1 and 2 students in AY 2019/20. Sponsor The Chua Chor Teck Memorial Fund (For more information on the sponsor; please go to The Chua Chor Teck Memorial Fund) Disciplines / Course Bachelor of Engineering with Honours in Marine Engineering Bachelor...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
The Chua Chor Teck Memorial Fund - MaritimeONE Scholarship (SMA-SP),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMA-SP Year 1 students in AY 2019/20. Sponsor The Chua Chor Teck Memorial Fund (For more information on the sponsor; please go to The Chua Chor Teck Memorial Fund) Disciplines / Course Diploma in Maritime Business Diploma in Marine Engineering Diploma in Nautical Studies ...,Deadline: Closed for this cycle.,T,F,T,T,F,T,F,T,F,F,F
PSA - MaritimeONE Scholarship (NUS EE),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 1 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Electrical Engineering) Tenable Universities / Institutions National University of Singapo...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NUS EE Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 2 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Electrical Engineering) Tenable Universities / Institutions National University of Singapo...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NUS EE Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 3 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Electrical Engineering) Tenable Universities / Institutions National University of Singapo...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NUS EE Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 4 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Electrical Engineering) Tenable Universities / Institutions National University of Singapo...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
MCI Information Service Scholarship,Ministry of Communications and Information (MCI),For candidates with an interest in a career in government communications. Course of Study Scholars can choose to study at our three local universities (NUS; NTU and SMU); or at any top overseas universities offering the courses of study allowed under our scholarship. Scholarship Disciplines of studi...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,F,F,F
MCI Information Service (Translation) Scholarship,Ministry of Communications and Information (MCI),For candidates with an interest in a career in government communications and translation. Candidates should have strong language proficiency in English and one of the mother tongue languages. Course of Study Scholars can choose to study at our three local universities (NUS; NTU and SMU); or at any t...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,F,F,F
MCI Information Service Mid-Term Scholarship,Ministry of Communications and Information (MCI),For candidates who have already commenced their undergraduate studies. Course of Study Scholars are studying at our three local universities (NUS; NTU and SMU); or at any top overseas universities taking the courses of study allowed under our scholarship. Scholarship Disciplines of studies MCI Infor...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
MCI Information Service Mid-Term (Translation) Scholarship,Ministry of Communications and Information (MCI),For candidates who have already commenced their undergraduate studies. Course of Study Scholars are studying at our three local universities (NUS; NTU and SMU); or at any top overseas universities taking the courses of study allowed under our scholarship. Scholarship Disciplines of studies MCI Infor...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
MOE Teaching Award,Ministry of Education (MOE),Ministry of Education Teaching Award (MOE TA) recipients can look forward to a fulfilling career in the Education Service. They will be given opportunities for higher responsibilities according to their abilities. The award will be tenable for full time undergraduate studies at local universities. ...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
NHB Scholarship,National Heritage Board (NHB),Love heritage? Join us to preserve and celebrate our shared heritage with the NHB Scholarship. The NHB Scholarship supports passionate individuals to pursue full-time undergraduate or postgraduate studies (up to Masters) in various disciplines that will develop the skills for an exciting and meaning...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,T,F
National Library Board (NLB) Undergraduate Scholarship,National Library Board Singapore (NLB),Eligibility: We are looking for applicants who fulfil the following criteria: Be a Singapore Citizen or Permanent Resident who must attain Singapore Citizenship before the award of scholarship Have excellent academic results Possess GCE ï¿½Aï¿½ Levels (minimum of 11 academic units) or Intern...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
National Parks Board (NParks) Undergraduate Scholarship (Year 2019),National Parks Board (NParks),We would like to invite Singapore Citizens and Permanent Residents; with outstanding academic achievements; demonstrated leadership capabilities and active participation in co-curricular and community/voluntary activities; to apply for the prestigious NParksï¿½ Undergraduate Scholarships. NParks...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
